step,temp,pe,ke,etotal,press
0.0,300.0,-382.32,4.1492507,-378.17075,3474.5344
100.0,207.45089,-379.62383,2.8692191,-376.75461,12607.878
200.0,330.86256,-378.69538,4.5761056,-374.11928,17667.627
300.0,356.78604,-377.29219,4.9346491,-372.35754,22566.586
400.0,375.74431,-377.70791,5.1968577,-372.51106,21826.177
500.0,292.90338,-377.0415,4.0510984,-372.9904,23510.646
600.0,434.49668,-377.51625,6.0094521,-371.50679,23764.466
700.0,344.18404,-376.28659,4.7603528,-371.52624,26710.791
800.0,403.83576,-377.71785,5.585386,-372.13247,22666.287
900.0,437.61359,-376.60831,6.0525616,-370.55575,27062.384
1000.0,439.9557,-376.5558,6.0849549,-370.47085,27313.301
1100.0,369.44288,-376.65633,5.1097037,-371.54662,26202.441
1200.0,490.95943,-376.57707,6.7903791,-369.78669,28115.751
1300.0,434.04021,-375.48167,6.0031387,-369.47853,30647.295
1400.0,470.35268,-375.32297,6.5053706,-368.8176,31961.753
1500.0,483.10239,-374.69082,6.6817097,-368.00911,34182.69
1600.0,417.9323,-375.44832,5.780353,-369.66796,31117.431
1700.0,530.85681,-375.41606,7.3421932,-368.07386,32494.398
1800.0,509.76408,-374.65686,7.0504631,-367.6064,34812.374
1900.0,511.79405,-374.65395,7.0785393,-367.57542,34905.722
2000.0,576.17499,-375.82331,7.9689815,-367.85433,31080.211
2100.0,627.32495,-374.58283,8.6764282,-365.9064,36076.276
2200.0,573.59469,-374.57497,7.9332938,-366.64167,35953.717
2300.0,482.754,-374.9591,6.6768912,-368.28221,33643.188
2400.0,608.24754,-374.67142,8.4125717,-366.25884,35863.27
2500.0,605.90592,-373.16277,8.3801851,-364.78258,40700.683
2600.0,683.90489,-374.07801,9.458976,-364.61903,37994.519
2700.0,594.14458,-374.08341,8.2175159,-365.86589,37562.758
2800.0,682.43711,-372.91005,9.4386754,-363.47138,43239.385
2900.0,721.56379,-373.83349,9.9798302,-363.85366,40137.04
3000.0,651.70807,-372.89542,9.0136671,-363.88175,42926.735
3100.0,719.54139,-371.75656,9.9518586,-361.8047,48364.921
3200.0,568.62437,-372.00144,7.8645502,-364.13689,46012.002
3300.0,682.10318,-372.22662,9.4340569,-362.79257,45554.625
3400.0,711.18987,-371.42819,9.8363501,-361.59184,48863.446
3500.0,699.02685,-372.4045,9.6681254,-362.73638,45842.795
3600.0,775.59203,-372.43562,10.727086,-361.70854,46433.477
3700.0,829.07414,-371.50238,11.466788,-360.03559,50034.769
3800.0,606.17366,-371.3499,8.3838881,-362.96602,48103.988
3900.0,760.27624,-372.25089,10.515256,-361.73563,46717.719
4000.0,907.14564,-372.33682,12.546582,-359.79024,47999.825
