step,temp,pe,ke,etotal,press
0.0,300.0,-386.3332,4.1492507,-382.18395,26072.125
100.0,243.95472,-384.08793,3.3740976,-380.71383,30775.808
200.0,275.03552,-382.02749,3.8039711,-378.22352,35854.955
300.0,375.61324,-381.38348,5.1950449,-376.18843,38278.278
400.0,349.37326,-381.76097,4.8321241,-376.92884,37282.203
500.0,354.70573,-382.07689,4.9058766,-377.17102,36704.204
600.0,373.7321,-381.14186,5.1690272,-375.97284,39006.361
700.0,396.33169,-381.54454,5.4815984,-376.06294,38359.733
800.0,387.76956,-382.02982,5.3631769,-376.66665,36864.49
900.0,385.92203,-380.63331,5.3376242,-375.29568,40156.286
1000.0,395.49064,-380.94142,5.469966,-375.47146,39393.263
1100.0,368.25464,-381.2902,5.0932694,-376.19693,38483.534
1200.0,426.38892,-380.4307,5.897315,-374.53338,40884.117
1300.0,429.35709,-380.55665,5.9383672,-374.61828,40696.379
1400.0,400.16239,-381.23226,5.5345802,-375.69768,38730.561
1500.0,369.93177,-379.47889,5.1164655,-374.36242,42856.142
1600.0,455.63724,-379.98891,6.3018437,-373.68707,42655.169
1700.0,404.20016,-379.75207,5.590426,-374.16164,42417.662
1800.0,428.84489,-380.2473,5.9312831,-374.31601,41235.034
1900.0,478.81793,-379.46309,6.6224521,-372.84063,44372.312
2000.0,425.01848,-379.19103,5.8783607,-373.31267,44163.433
2100.0,416.96415,-380.53543,5.7669625,-374.76846,41045.376
2200.0,434.71703,-379.08518,6.0124997,-373.07268,44526.252
2300.0,515.86303,-379.27341,7.1348168,-372.13859,44598.48
2400.0,495.54815,-378.5658,6.8538449,-371.71196,46102.417
2500.0,529.2789,-379.34384,7.3203693,-372.02347,44190.307
2600.0,425.94385,-378.50005,5.8911593,-372.60889,46317.551
2700.0,557.84385,-378.36975,7.7154466,-370.65431,47629.182
2800.0,474.72835,-378.17105,6.5658898,-371.60516,47055.145
2900.0,490.42826,-379.85922,6.7830326,-373.07619,42980.802
3000.0,478.34215,-378.01997,6.6158716,-371.4041,47906.061
3100.0,507.16367,-376.99685,7.0144973,-369.98236,49827.661
3200.0,595.19791,-378.52025,8.2320844,-370.28817,47428.677
3300.0,518.5201,-378.71106,7.1715663,-371.53949,46201.687
3400.0,623.43965,-377.95822,8.6226912,-369.33553,48476.754
3500.0,530.62444,-377.19828,7.3389794,-369.8593,50585.448
3600.0,471.34199,-377.11025,6.5190536,-370.5912,50316.082
3700.0,659.8874,-377.4227,9.1267941,-368.2959,49925.491
3800.0,624.66109,-377.27139,8.6395848,-368.63181,50322.213
3900.0,538.39623,-378.15129,7.4464697,-370.70482,47494.262
4000.0,555.60385,-376.3799,7.6844654,-368.69544,51644.597
4100.0,648.29224,-376.56827,8.9664234,-367.60185,51903.964
4200.0,621.3774,-376.6071,8.5941686,-368.01293,52364.345
4300.0,622.86671,-377.29016,8.614767,-368.67539,50291.357
4400.0,661.04579,-375.55321,9.1428157,-366.4104,54868.039
4500.0,676.27802,-376.48886,9.3534901,-367.13537,53219.623
4600.0,644.85641,-377.99926,8.918903,-369.08036,49402.473
4700.0,667.35662,-376.29,9.2300996,-367.0599,53747.193
4800.0,688.90676,-375.67105,9.528156,-366.14289,54370.444
4900.0,779.11416,-375.29439,10.7758,-364.51859,56413.276
5000.0,667.32995,-375.20033,9.2297308,-365.9706,56496.342
