step,temp,pe,ke,etotal,press
0.0,300.0,-906.24,9.8884011,-896.3516,3493.3076
100.0,155.05105,-900.58755,5.1106901,-895.47686,11200.665
200.0,211.72254,-900.33704,6.978658,-893.35838,11910.031
300.0,241.49848,-898.70527,7.9601128,-890.74516,15204.565
400.0,248.62843,-896.06115,8.1951256,-887.86603,18878.389
500.0,349.53298,-896.38083,11.521074,-884.85976,19949.815
600.0,395.20907,-895.31748,13.026619,-882.29086,22236.955
700.0,415.55197,-894.28242,13.697148,-880.58528,24033.351
800.0,366.1058,-892.48758,12.067337,-880.42024,26350.667
900.0,407.89533,-893.96899,13.444775,-880.52422,24079.1
1000.0,370.37468,-892.96515,12.208045,-880.75711,25386.753
1100.0,408.05857,-893.63155,13.450156,-880.18139,24773.848
1200.0,422.7975,-892.7036,13.935971,-878.76763,26426.353
1300.0,414.31736,-890.9343,13.656454,-877.27784,29670.74
1400.0,444.59665,-891.07063,14.6545,-876.41613,29393.785
1500.0,409.01594,-890.10953,13.481712,-876.62782,30351.449
1600.0,471.15005,-891.86545,15.529736,-876.33571,28515.357
1700.0,410.4063,-889.76492,13.52754,-876.23738,30959.706
1800.0,508.33061,-891.69155,16.755256,-874.93629,28933.779
1900.0,500.27505,-889.93751,16.489735,-873.44777,31858.425
2000.0,498.88855,-889.02568,16.444034,-872.58164,33151.977
2100.0,569.43182,-890.95824,18.769234,-872.18901,30641.476
2200.0,516.34707,-889.19822,17.01949,-872.17873,33333.059
2300.0,522.34359,-888.79547,17.217143,-871.57832,33836.96
2400.0,541.40791,-887.8398,17.845529,-869.99427,35709.556
2500.0,538.86925,-886.39054,17.761851,-868.62869,37408.579
2600.0,556.67008,-886.25415,18.34859,-867.90556,37964.22
2700.0,622.35622,-889.02057,20.513693,-868.50688,34617.838
2800.0,556.71407,-888.7719,18.35004,-870.42186,34100.935
2900.0,578.20242,-889.07726,19.058325,-870.01893,33981.759
3000.0,553.65804,-886.0254,18.249309,-867.77609,38768.392
3100.0,634.22087,-887.25365,20.904768,-866.34888,37332.195
3200.0,607.021,-885.3816,20.008224,-865.37337,40841.527
3300.0,651.49306,-885.97212,21.474082,-864.49804,39764.345
3400.0,650.86845,-883.70226,21.453494,-862.24877,43970.261
3500.0,682.61592,-883.6027,22.499933,-861.10276,43610.675
3600.0,618.47783,-882.85927,20.385856,-862.47341,44254.109
3700.0,577.0513,-885.04679,19.020382,-866.02641,39891.487
3800.0,610.35474,-885.24615,20.118108,-865.12805,40204.036
3900.0,669.24885,-884.48132,22.059337,-862.42198,41865.918
4000.0,703.06897,-883.59249,23.174093,-860.4184,43885.95
