step,temp,pe,ke,etotal,press
0.0,300.0,-906.24,9.8884011,-896.3516,3493.3076
100.0,154.50779,-900.59779,5.0927832,-895.50501,11177.165
200.0,207.69006,-900.44843,6.845742,-893.60269,11698.014
300.0,227.83855,-899.1039,7.5098632,-891.59404,14413.112
400.0,213.32717,-897.40037,7.0315487,-890.36882,16440.594
500.0,254.918,-898.93811,8.402438,-890.53567,14793.248
600.0,230.76523,-899.86335,7.6063306,-892.25702,13133.752
700.0,198.57259,-900.65642,6.545218,-894.1112,11431.034
800.0,146.3433,-900.4625,4.8236707,-895.63883,11217.154
900.0,149.29981,-901.82094,4.9211213,-896.89982,8928.9428
1000.0,116.38891,-902.07556,3.836334,-898.23923,8157.0386
