step,temp,pe,ke,etotal,press
0.0,300.0,-906.24,9.8884011,-896.3516,3493.3076
100.0,155.13516,-900.58593,5.1134622,-895.47247,11204.345
200.0,212.28988,-900.32116,6.9973582,-893.3238,11941.392
300.0,243.28913,-898.65243,8.0191349,-890.6333,15310.736
400.0,252.68929,-895.90261,8.3289768,-887.57363,19165.402
500.0,359.6321,-896.11263,11.853955,-884.25867,20495.529
600.0,413.22694,-894.82226,13.620512,-881.20174,23231.134
700.0,444.77254,-893.42119,14.660298,-878.76089,25735.307
800.0,406.71187,-891.04479,13.405767,-877.63903,29076.267
900.0,464.63197,-892.16372,15.314891,-876.84883,27514.142
1000.0,427.45127,-890.85701,14.089365,-876.76764,29302.84
1100.0,467.05649,-891.88086,15.394806,-876.48605,28194.538
1200.0,477.35836,-891.11789,15.73437,-875.38352,29536.627
1300.0,464.36015,-888.94702,15.305931,-873.64109,33434.686
1400.0,511.07075,-888.83571,16.845575,-871.99014,33657.607
1500.0,483.25461,-887.2694,15.928718,-871.34068,35716.039
1600.0,561.81975,-888.88868,18.51833,-870.37035,34310.263
1700.0,493.82769,-886.53808,16.277221,-870.26085,37061.591
1800.0,604.63144,-889.17025,19.929461,-869.24079,33981.648
1900.0,575.48953,-886.65979,18.968904,-867.69089,37986.976
2000.0,607.15408,-886.1834,20.01261,-866.17079,38873.346
2100.0,674.02211,-887.27827,22.21667,-865.0616,37626.231
2200.0,643.91445,-885.61525,21.224281,-864.39097,40573.14
2300.0,634.88761,-884.61614,20.926744,-863.6894,41675.031
2400.0,662.15048,-884.18951,21.825365,-862.36414,42862.159
2500.0,666.78282,-882.43822,21.978053,-860.46016,45010.493
2600.0,694.56531,-881.72159,22.893801,-858.82778,46529.658
2700.0,768.05449,-884.37844,25.316103,-859.06233,43522.009
2800.0,726.37314,-883.91833,23.94223,-859.9761,43523.69
2900.0,745.07655,-884.03001,24.558719,-859.47129,43791.079
3000.0,741.22687,-879.35396,24.431828,-854.92213,50856.513
3100.0,819.44818,-880.93839,27.010107,-853.92829,49267.797
3200.0,760.44376,-879.89533,25.065243,-854.83008,50882.279
3300.0,751.95808,-881.23579,24.785544,-856.45025,48253.861
3400.0,743.24581,-879.51469,24.498376,-855.01632,51399.921
3500.0,838.18902,-879.71231,27.627831,-852.08448,51531.655
3600.0,787.28873,-876.82498,25.950089,-850.8749,55867.253
3700.0,863.52663,-878.23316,28.462992,-849.77017,54590.815
3800.0,854.79709,-877.34007,28.175255,-849.16481,55235.682
3900.0,949.76745,-877.34166,31.305605,-846.03605,56359.905
4000.0,975.16386,-874.9623,32.142705,-842.8196,60114.582
